Tweet_id,Username,Text,Created_At,URL,Category
2009630381700718794,vivekgalatage,"Nice visual explainer!

https://t.co/xfDhQoMJ20 https://t.co/op6yY1DO4N",Fri Jan 09 14:16:34 +0000 2026,https://x.com/i/status/2009630381700718794,Electronics
2009470034847101019,tunahorse21,"NousCoder-14B running on q4 quant on 3060 

we have agi at home 

tunacode btw ggfu qaunts in links below https://t.co/V0f9tzUcTa",Fri Jan 09 03:39:25 +0000 2026,https://x.com/i/status/2009470034847101019,"HPC, GPU Programming and ML Optimisations"
2009428673422872947,GuanniQu,"768 is not a power of 2. this bothered me.
512 = 2⁹. 1024 = 2¹⁰. 768 = 3 × 256. weird.
then I did the math.

BERT has 12 attention heads. each needs equal dimensions.

512 / 12 = 42.67: no 
1024 / 12 = 85.33: no 
768 / 12 = 64: yes! 64 = 2⁶!

GPUs run threads in groups of 32.",Fri Jan 09 00:55:03 +0000 2026,https://x.com/i/status/2009428673422872947,Electronics
2009286675743015411,SergioPaniego,"New GRPO + TRL free Colab notebook out! 🔥

Fine-tune 7B+ models on T4 GPUs thanks to a ton of memory optimizations for GRPO

 7B model uses only 9.2 GB VRAM (~7× reduction) 🤯 https://t.co/9o064oQRwP",Thu Jan 08 15:30:48 +0000 2026,https://x.com/i/status/2009286675743015411,"HPC, GPU Programming and ML Optimisations"
2009353419488940057,foldll,"built kernelscope - CUDA kernel debugger that maps source lines to PTX + GPU events
runs entirely on @modal btw
analyzing warp state, memory coalescing, warp divergence, SM occupancy, hints 4 perf
more info&amp;pics in next post
@charles_irl @can this is my job application part 2 https://t.co/GzIT5zJMob",Thu Jan 08 19:56:01 +0000 2026,https://x.com/i/status/2009353419488940057,"HPC, GPU Programming and ML Optimisations"
2009156510082015627,vibu_artz,"Artist : Sri Vaddadi Papaiah (VaPa)
The legendary Telugu artist is celebrated for his unique magazine cover illustrations. His artworks feel ethereal and stylized with powerful visual storytelling. I esp like how female postures stand out beautifully. Few more of his artworks : https://t.co/3EZIeMltwL",Thu Jan 08 06:53:34 +0000 2026,https://x.com/i/status/2009156510082015627,Electronics
2009307135272943822,arthextic,https://t.co/bOEpS5oT6M,Thu Jan 08 16:52:06 +0000 2026,https://x.com/i/status/2009307135272943822,Electronics
2008995954624745537,cjpgverrier,"As I like GPUs and tinygrad more and more, I wanted to better understand how to properly benchmark kernel runtimes, so I wrote a few notes: https://t.co/zs1Bpb1dGJ
Hope it helps!",Wed Jan 07 20:15:35 +0000 2026,https://x.com/i/status/2008995954624745537,"HPC, GPU Programming and ML Optimisations"
2009187297137446959,jiqizhixin,"Farewell to the shackles of KV Cache, compressing long contexts into weights—is there hope for continuously learning large models?

Researchers from Stanford, NVIDIA, UC Berkeley, and the Astera Institute present a new method called End-to-End Test-Time Training (TTT-E2E). 

They https://t.co/HHp4WMb0Um",Thu Jan 08 08:55:55 +0000 2026,https://x.com/i/status/2009187297137446959,"HPC, GPU Programming and ML Optimisations"
2008848082998587472,wildmindai,"InfiniDepth: Fine-grained depth estimation at any resolution; models depth as a neural implicit field instead of a grid; 
- tops DepthAnything;
- recovers sharp details w/ a lightweight 15M decoder.
https://t.co/DOFYlUAyNx https://t.co/T7zNifox0t",Wed Jan 07 10:28:00 +0000 2026,https://x.com/i/status/2008848082998587472,ML and Deep Learning
2008493754458448008,rsasaki0109,"CLM: Removing the GPU Memory Barrier for 3D Gaussian Splatting
https://t.co/MwqtDvscil
CLM trains a 102-million Gaussian model on the MatrixCity BigCity Aerial Dataset under 4 hours using a single RTX 4090, achieving a PSNR of 25. https://t.co/z0FgeOH5B8",Tue Jan 06 11:00:01 +0000 2026,https://x.com/i/status/2008493754458448008,"HPC, GPU Programming and ML Optimisations"
